Municipio,Populacao,macro,regional,lat,lon
FLORIANÓPOLIS,574200,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.577833913876493,-48.50819805014117
GAROPABA,29801,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-28.04673393425685,-48.65893578099145
GOVERNADOR CELSO RAMOS,17306,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.37661650148034,-48.57722959006138
LEOBERTO LEAL,3334,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.47214025034485,-49.25722235989941
MAJOR GERCINO,3887,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.42792580883704,-49.05263192701135
NOVA TRENTO,13645,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.31326812312137,-49.04136677854023
PALHOÇA,236638,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.77182146966105,-48.66170819531588
PAULO LOPES,9326,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.96485520622319,-48.76016335634399
RANCHO QUEIMADO,3252,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.67393150233846,-49.089880502958856
SANTO AMARO DA IMPERATRIZ,28260,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.741766116501967,-48.79655035805106
SÃO BONIFÁCIO,2950,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.956554071439477,-48.93909777309912
SÃO JOSÉ,287409,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.57847109713233,-48.65625577254402
SÃO JOÃO BATISTA,32360,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.3289283421727,-48.859015927042506
SÃO PEDRO DE ALCÂNTARA,5693,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.591567381186135,-48.837130751483066
TIJUCAS,49474,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.247563296595885,-48.70088637061579
ÁGUAS MORNAS,6765,GRANDE FLORIANÓPOLIS,GRANDE FLORIANÓPOLIS,-27.733480951801116,-48.936026935725984
ANCHIETA,5942,GRANDE OESTE,EXTREMO OESTE,-26.532948184400585,-53.33310864178267
BANDEIRANTE,3144,GRANDE OESTE,EXTREMO OESTE,-26.768595796097028,-53.64816794738197
BARRA BONITA,1608,GRANDE OESTE,EXTREMO OESTE,-26.66835784442113,-53.42505535504748
BELMONTE,2703,GRANDE OESTE,EXTREMO OESTE,-26.857082065884523,-53.61806004596434
BOM JESUS DO OESTE,2182,GRANDE OESTE,EXTREMO OESTE,-26.684020817771067,-53.095288071802216
DESCANSO,8559,GRANDE OESTE,EXTREMO OESTE,-26.858413595000638,-53.4793005223036
DIONÍSIO CERQUEIRA,14989,GRANDE OESTE,EXTREMO OESTE,-26.329842624688037,-53.533104817609406
FLOR DO SERTÃO,1784,GRANDE OESTE,EXTREMO OESTE,-26.76378082164953,-53.33734229657069
GUARACIABA,11154,GRANDE OESTE,EXTREMO OESTE,-26.580105565442395,-53.571076311226726
GUARUJÁ DO SUL,4819,GRANDE OESTE,EXTREMO OESTE,-26.39833636190546,-53.48402065827256
IPORÃ DO OESTE,9333,GRANDE OESTE,EXTREMO OESTE,-27.000431634442474,-53.489414418215965
IRACEMINHA,3987,GRANDE OESTE,EXTREMO OESTE,-26.845317195563474,-53.32445648581825
ITAPIRANGA,16503,GRANDE OESTE,EXTREMO OESTE,-27.112222405376688,-53.711674144548695
MARAVILHA,28045,GRANDE OESTE,EXTREMO OESTE,-26.759973577360107,-53.19811282877847
MODELO,4085,GRANDE OESTE,EXTREMO OESTE,-26.77477746640045,-53.05109629093748
MONDAÍ,9961,GRANDE OESTE,EXTREMO OESTE,-27.09929258522074,-53.44649707854179
PALMA SOLA,7601,GRANDE OESTE,EXTREMO OESTE,-26.37354381742908,-53.31452923662933
PARAÍSO,4437,GRANDE OESTE,EXTREMO OESTE,-26.662800366381106,-53.67830388048522
PRINCESA,2964,GRANDE OESTE,EXTREMO OESTE,-26.43294507449384,-53.61177569847364
ROMELÂNDIA,4826,GRANDE OESTE,EXTREMO OESTE,-26.648389532310617,-53.31712397583878
SALTINHO,3626,GRANDE OESTE,EXTREMO OESTE,-26.590521643011797,-53.02227852519562
SANTA HELENA,2427,GRANDE OESTE,EXTREMO OESTE,-26.92195558857574,-53.61965218468821
SANTA TEREZINHA DO PROGRESSO,2580,GRANDE OESTE,EXTREMO OESTE,-26.59274865073079,-53.16992504599359
SAUDADES,10272,GRANDE OESTE,EXTREMO OESTE,-26.89720679402398,-53.04001442530173
SÃO JOSÉ DO CEDRO,15100,GRANDE OESTE,EXTREMO OESTE,-26.48085134039229,-53.53373642407425
SÃO JOÃO DO OESTE,6287,GRANDE OESTE,EXTREMO OESTE,-27.091607129863164,-53.59166414663414
SÃO MIGUEL DA BOA VISTA,1768,GRANDE OESTE,EXTREMO OESTE,-26.689643491003483,-53.23996170119908
SÃO MIGUEL DO OESTE,43946,GRANDE OESTE,EXTREMO OESTE,-26.72723694473141,-53.51212123092325
TIGRINHOS,2325,GRANDE OESTE,EXTREMO OESTE,-26.676066622551183,-53.15654614606529
TUNÁPOLIS,5018,GRANDE OESTE,EXTREMO OESTE,-26.98811657706097,-53.64994894871563
ARVOREDO,2539,GRANDE OESTE,OESTE,-27.07085356427636,-52.44198670964182
CAIBI,6199,GRANDE OESTE,OESTE,-27.025175523184227,-53.26305757870258
CAXAMBU DO SUL,4614,GRANDE OESTE,OESTE,-27.14671120355529,-52.92021076953631
CHAPECÓ,251150,GRANDE OESTE,OESTE,-27.12514375726409,-52.6503387011512
CORDILHEIRA ALTA,4735,GRANDE OESTE,OESTE,-26.975707450831653,-52.64165994492363
CORONEL FREITAS,10303,GRANDE OESTE,OESTE,-26.88316140551689,-52.72505203540188
CUNHA PORÃ,10904,GRANDE OESTE,OESTE,-26.879227556402125,-53.19066459516312
CUNHATAÍ,1757,GRANDE OESTE,OESTE,-26.97508678163015,-53.10087034298753
FORMOSA DO SUL,2682,GRANDE OESTE,OESTE,-26.63418929244456,-52.79378914566691
GUATAMBÚ,8400,GRANDE OESTE,OESTE,-27.11647391751629,-52.78338990117775
IRATI,2069,GRANDE OESTE,OESTE,-26.62759228422285,-52.89009910522137
JARDINÓPOLIS,1785,GRANDE OESTE,OESTE,-26.717195189426302,-52.87130602094494
NOVA ERECHIM,5179,GRANDE OESTE,OESTE,-26.908168558958387,-52.90669278808881
NOVA ITABERABA,4432,GRANDE OESTE,OESTE,-26.961141868867955,-52.83316646064405
PAIAL,1931,GRANDE OESTE,OESTE,-27.21300274694801,-52.48786857820866
PALMITOS,15627,GRANDE OESTE,OESTE,-27.09262173445292,-53.1798290650498
PINHALZINHO,21495,GRANDE OESTE,OESTE,-26.829373480377637,-52.97663206995043
PLANALTO ALEGRE,2946,GRANDE OESTE,OESTE,-27.051964045168106,-52.86898317565832
QUILOMBO,11027,GRANDE OESTE,OESTE,-26.72923644663756,-52.71798207770491
RIQUEZA,4769,GRANDE OESTE,OESTE,-26.97845506109925,-53.34435192618812
SANTIAGO DO SUL,1642,GRANDE OESTE,OESTE,-26.63087442406839,-52.69731235564567
SERRA ALTA,3314,GRANDE OESTE,OESTE,-26.69262092171896,-53.0252384398724
SUL BRASIL,2878,GRANDE OESTE,OESTE,-26.695341808174227,-52.94680043392991
SÃO CARLOS,10279,GRANDE OESTE,OESTE,-27.030109233268377,-53.03141183563582
UNIÃO DO OESTE,2782,GRANDE OESTE,OESTE,-26.786666327181376,-52.85600990552198
ÁGUAS DE CHAPECÓ,5872,GRANDE OESTE,OESTE,-27.054386024452796,-52.95673527930452
ÁGUAS FRIAS,2802,GRANDE OESTE,OESTE,-26.851638850973643,-52.85231124188476
ABELARDO LUZ,17389,GRANDE OESTE,XANXERÊ,-26.562426855567093,-52.25571912306015
BOM JESUS,2721,GRANDE OESTE,XANXERÊ,-26.7390418954996,-52.38999113763144
CAMPO ERÊ,9562,GRANDE OESTE,XANXERÊ,-26.45041878507548,-53.13029027791252
CORONEL MARTINS,2069,GRANDE OESTE,XANXERÊ,-26.53464591641919,-52.67187452260622
ENTRE RIOS,3322,GRANDE OESTE,XANXERÊ,-26.739709973471363,-52.57836812869868
FAXINAL DOS GUEDES,10965,GRANDE OESTE,XANXERÊ,-26.846669473721352,-52.24432281425879
GALVÃO,3219,GRANDE OESTE,XANXERÊ,-26.449409440681887,-52.65901067461307
IPUAÇU,7726,GRANDE OESTE,XANXERÊ,-26.6787391439459,-52.47601370371535
JUPIÁ,2542,GRANDE OESTE,XANXERÊ,-26.39410562808988,-52.72092005961704
LAJEADO GRANDE,1682,GRANDE OESTE,XANXERÊ,-26.85494130222345,-52.55208511201592
MAREMA,2177,GRANDE OESTE,XANXERÊ,-26.812382609184045,-52.63006957646893
NOVO HORIZONTE,2652,GRANDE OESTE,XANXERÊ,-26.494979246937564,-52.79636139882617
OURO VERDE,2168,GRANDE OESTE,XANXERÊ,-26.71153346352876,-52.27875795891815
PASSOS MAIA,4025,GRANDE OESTE,XANXERÊ,-26.706082760208048,-51.96106257398024
PONTE SERRADA,10414,GRANDE OESTE,XANXERÊ,-26.861768575031704,-51.92821372642347
SÃO BERNARDINO,2651,GRANDE OESTE,XANXERÊ,-26.4876954650617,-52.98761130109326
SÃO DOMINGOS,8984,GRANDE OESTE,XANXERÊ,-26.53938727845183,-52.55460248576241
SÃO LOURENÇO DO OESTE,24774,GRANDE OESTE,XANXERÊ,-26.465488220200022,-52.85977286462592
VARGEÃO,3585,GRANDE OESTE,XANXERÊ,-26.77869255231926,-52.12417603836292
XANXERÊ,50998,GRANDE OESTE,XANXERÊ,-26.87227935615384,-52.40975397789386
XAXIM,31625,GRANDE OESTE,XANXERÊ,-26.97030880074372,-52.52910542362624
ALTO BELA VISTA,1859,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.421535077482,-51.92594839668161
ARABUTÃ,4378,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.140868080616997,-52.18154485906579
CONCÓRDIA,81625,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.23912654780915,-52.00738181173657
IPIRA,4580,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.37081858347813,-51.798707740039546
IPUMIRIM,7815,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.04030920397246,-52.15289061018003
IRANI,10014,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.02523498657863,-51.917948145975714
ITÁ,7063,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.24401504736772,-52.33215832255871
LINDÓIA DO SUL,4549,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.031507278170547,-52.05246609985818
PERITIBA,2993,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.35136072671339,-51.87505899956805
PIRATUBA,5746,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.46121871446764,-51.77282038293217
PRESIDENTE CASTELLO BRANCO,1692,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.233334573923248,-51.7809355856458
SEARA,18623,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.147832610525413,-52.34069428230799
XAVANTINA,3654,MEIO OESTE,ALTO URUGUAI CATARINENSE,-27.02121446664788,-52.32188984982557
ARROIO TRINTA,3556,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.92149911289856,-51.33667814298063
CALMON,3465,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.622155602459436,-51.00686567860755
CAÇADOR,74105,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.76301573603967,-51.08466522606485
CURITIBANOS,40289,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.29293362288548,-50.61754793582909
FRAIBURGO,33662,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.037814801374303,-50.87243224056439
FREI ROGÉRIO,2411,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.191741296148173,-50.76564963995387
IBIAM,2003,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.208374212872567,-51.21546323270967
IOMERÊ,2865,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.9877300040858,-51.27550679848495
LEBON RÉGIS,11553,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.85842921486788,-50.702568782604985
MACIEIRA,1778,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.803514154117057,-51.35313152484498
MATOS COSTA,2762,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.481287587029858,-51.14183006698014
PINHEIRO PRETO,3469,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.049431015415728,-51.23605423031415
PONTE ALTA DO NORTE,3217,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.180289058668134,-50.41856691670765
RIO DAS ANTAS,6221,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.90907633588829,-51.063409436484186
SALTO VELOSO,4416,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.895934975227195,-51.428018355843534
SANTA CECÍLIA,15247,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.926037999151447,-50.44624009169733
SÃO CRISTÓVÃO DO SUL,6092,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.29520553690684,-50.349496512442265
TANGARÁ,8153,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.147028474882347,-51.14706907793429
TIMBÓ GRANDE,7368,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-26.624253499023236,-50.66563354765527
VIDEIRA,55921,MEIO OESTE,ALTO VALE DO RIO DO PEIXE,-27.006590429997196,-51.12679145811229
ABDON BATISTA,2600,MEIO OESTE,MEIO OESTE,-27.583824901720693,-51.0562628309725
BRUNÓPOLIS,2488,MEIO OESTE,MEIO OESTE,-27.346967886467382,-50.84496052789365
CAMPOS NOVOS,36976,MEIO OESTE,MEIO OESTE,-27.41300179636672,-51.24461188464247
CAPINZAL,23184,MEIO OESTE,MEIO OESTE,-27.411939390248456,-51.63081493151491
CATANDUVAS,10565,MEIO OESTE,MEIO OESTE,-27.04499810338548,-51.69641103992949
CELSO RAMOS,2802,MEIO OESTE,MEIO OESTE,-27.651968888665145,-51.30824148335268
ERVAL VELHO,4824,MEIO OESTE,MEIO OESTE,-27.284350801751906,-51.421889614368894
HERVAL D'OESTE,21339,MEIO OESTE,MEIO OESTE,-27.19537550519517,-51.41066483184581
IBICARÉ,3267,MEIO OESTE,MEIO OESTE,-27.09247046688953,-51.37004037385883
JABORÁ,4314,MEIO OESTE,MEIO OESTE,-27.141510230826743,-51.772666951728674
JOAÇABA,29976,MEIO OESTE,MEIO OESTE,-27.151796127157358,-51.59293464174646
LACERDÓPOLIS,2256,MEIO OESTE,MEIO OESTE,-27.250882306855967,-51.59031113339198
LUZERNA,5760,MEIO OESTE,MEIO OESTE,-27.09041292936536,-51.50563310304435
MONTE CARLO,9131,MEIO OESTE,MEIO OESTE,-27.1937349107742,-50.92753484296082
OURO,7025,MEIO OESTE,MEIO OESTE,-27.283436662769383,-51.68188570460702
TREZE TÍLIAS,8803,MEIO OESTE,MEIO OESTE,-26.964791254360083,-51.44935440560939
VARGEM,2621,MEIO OESTE,MEIO OESTE,-27.46687704848312,-50.95046385540894
VARGEM BONITA,4572,MEIO OESTE,MEIO OESTE,-26.944996335664232,-51.7566311514641
ZORTÉA,3925,MEIO OESTE,MEIO OESTE,-27.47698781177276,-51.535614862678045
ÁGUA DOCE,6286,MEIO OESTE,MEIO OESTE,-26.76446918157033,-51.61240583867837
ARAQUARI,45462,NORDESTE,NORDESTE,-26.461708089601323,-48.75777734611065
BALNEÁRIO BARRA DO SUL,14885,NORDESTE,NORDESTE,-26.446419426504228,-48.6525686779991
GARUVA,18697,NORDESTE,NORDESTE,-26.05711167861282,-48.86732766109188
ITAPOÁ,30731,NORDESTE,NORDESTE,-26.082477365716414,-48.65235420331072
JOINVILLE,617979,NORDESTE,NORDESTE,-26.244282225607027,-48.95140521079262
SÃO FRANCISCO DO SUL,52428,NORDESTE,NORDESTE,-26.26159673750705,-48.64031938386047
BARRA VELHA,45633,NORDESTE,VALE DO ITAPOCU,-26.662440609824166,-48.72738559449102
CORUPÁ,15287,NORDESTE,VALE DO ITAPOCU,-26.439933805537702,-49.32671147592909
GUARAMIRIM,46502,NORDESTE,VALE DO ITAPOCU,-26.47655093499799,-48.94488242157447
JARAGUÁ DO SUL,193304,NORDESTE,VALE DO ITAPOCU,-26.481907693524388,-49.15997433990064
MASSARANDUBA,18922,NORDESTE,VALE DO ITAPOCU,-26.626911300757143,-48.98819178964745
SCHROEDER,20213,NORDESTE,VALE DO ITAPOCU,-26.36795231023243,-49.06045571561801
SÃO JOÃO DO ITAPERIÚ,4484,NORDESTE,VALE DO ITAPOCU,-26.59105248462006,-48.79773346422953
BELA VISTA DO TOLDO,5863,PLANALTO NORTE,PLANALTO NORTE,-26.41807905207535,-50.48684429981012
CAMPO ALEGRE,12318,PLANALTO NORTE,PLANALTO NORTE,-26.12055648774321,-49.21753924216807
CANOINHAS,54848,PLANALTO NORTE,PLANALTO NORTE,-26.249950005908698,-50.53337070155689
IRINEÓPOLIS,10298,PLANALTO NORTE,PLANALTO NORTE,-26.357066305040167,-50.76069119092562
ITAIÓPOLIS,22065,PLANALTO NORTE,PLANALTO NORTE,-26.47214831122725,-49.8912454898794
MAFRA,55463,PLANALTO NORTE,PLANALTO NORTE,-26.20081171740186,-49.88955903735795
MAJOR VIEIRA,7359,PLANALTO NORTE,PLANALTO NORTE,-26.481213478137697,-50.361577147797256
MONTE CASTELO,7754,PLANALTO NORTE,PLANALTO NORTE,-26.660693783089588,-50.291540444204806
PAPANDUVA,19132,PLANALTO NORTE,PLANALTO NORTE,-26.50242441247795,-50.1723622637524
PORTO UNIÃO,32190,PLANALTO NORTE,PLANALTO NORTE,-26.38362840601625,-51.00778459817214
RIO NEGRINHO,38531,PLANALTO NORTE,PLANALTO NORTE,-26.44271403183842,-49.596155798278296
SÃO BENTO DO SUL,82760,PLANALTO NORTE,PLANALTO NORTE,-26.294901587995746,-49.34998168331938
TRÊS BARRAS,19782,PLANALTO NORTE,PLANALTO NORTE,-26.16992128272165,-50.25523015846496
ANITA GARIBALDI,8286,SERRA CATARINENSE,SERRA CATARINENSE,-27.730321792809924,-51.07955798426662
BOCAINA DO SUL,3514,SERRA CATARINENSE,SERRA CATARINENSE,-27.763117533335603,-49.909163039792034
BOM JARDIM DA SERRA,4362,SERRA CATARINENSE,SERRA CATARINENSE,-28.361004608214945,-49.65245191624736
BOM RETIRO,8698,SERRA CATARINENSE,SERRA CATARINENSE,-27.78535988762668,-49.56300898690758
CAMPO BELO DO SUL,7345,SERRA CATARINENSE,SERRA CATARINENSE,-27.847014437690294,-50.77112433388904
CAPÃO ALTO,2892,SERRA CATARINENSE,SERRA CATARINENSE,-28.06218197704196,-50.60691206966024
CERRO NEGRO,3318,SERRA CATARINENSE,SERRA CATARINENSE,-27.776354678164044,-50.93193513934535
CORREIA PINTO,15720,SERRA CATARINENSE,SERRA CATARINENSE,-27.59682976815301,-50.378096027660185
LAGES,164881,SERRA CATARINENSE,SERRA CATARINENSE,-28.02046733452816,-50.34057306529381
OTACÍLIO COSTA,17357,SERRA CATARINENSE,SERRA CATARINENSE,-27.517214351001314,-49.97162825462502
PAINEL,2199,SERRA CATARINENSE,SERRA CATARINENSE,-27.96363041785285,-50.07213529549512
PALMEIRA,2627,SERRA CATARINENSE,SERRA CATARINENSE,-27.562593742205628,-50.1616144262276
PONTE ALTA,4437,SERRA CATARINENSE,SERRA CATARINENSE,-27.4101571043106,-50.29874092136142
RIO RUFINO,2432,SERRA CATARINENSE,SERRA CATARINENSE,-27.914235029891643,-49.75337595029075
SÃO JOAQUIM,26026,SERRA CATARINENSE,SERRA CATARINENSE,-28.298349165873432,-50.01398597874578
SÃO JOSÉ DO CERRITO,8708,SERRA CATARINENSE,SERRA CATARINENSE,-27.598271651210737,-50.65026289681241
URUBICI,11156,SERRA CATARINENSE,SERRA CATARINENSE,-28.038876224405293,-49.57745827407624
URUPEMA,2719,SERRA CATARINENSE,SERRA CATARINENSE,-28.023654070551256,-49.90088889407842
BALNEÁRIO RINCÃO,15880,SUL,CARBONÍFERA,-28.8267399540157,-49.25423722484238
COCAL DO SUL,17241,SUL,CARBONÍFERA,-28.59869687778446,-49.3339303801786
CRICIÚMA,231088,SUL,CARBONÍFERA,-28.715695317599724,-49.379715593390806
FORQUILHINHA,31692,SUL,CARBONÍFERA,-28.78169340856214,-49.49328332774105
IÇARA,64456,SUL,CARBONÍFERA,-28.751615358390502,-49.277346428181566
LAURO MÜLLER,14192,SUL,CARBONÍFERA,-28.384585380726385,-49.45193164331007
MORRO DA FUMAÇA,18687,SUL,CARBONÍFERA,-28.637695962847623,-49.24286164427865
NOVA VENEZA,13396,SUL,CARBONÍFERA,-28.68471789145389,-49.58491232010042
ORLEANS,23531,SUL,CARBONÍFERA,-28.27993784715249,-49.37185982502813
SIDERÓPOLIS,13862,SUL,CARBONÍFERA,-28.58327160078786,-49.526695700067904
TREVISO,3783,SUL,CARBONÍFERA,-28.499162004094863,-49.48984119522768
URUSSANGA,20915,SUL,CARBONÍFERA,-28.4926994380424,-49.32827746452854
ARARANGUÁ,72138,SUL,EXTREMO SUL CATARINENSE,-28.9422934098757,-49.47117420910179
BALNEÁRIO ARROIO DO SILVA,15693,SUL,EXTREMO SUL CATARINENSE,-29.01946507516236,-49.475056726291164
BALNEÁRIO GAIVOTA,15353,SUL,EXTREMO SUL CATARINENSE,-29.153516044807805,-49.61536798375303
ERMO,2270,SUL,EXTREMO SUL CATARINENSE,-28.990337147169804,-49.65292076186806
JACINTO MACHADO,10624,SUL,EXTREMO SUL CATARINENSE,-28.99483199811634,-49.848148251438495
MARACAJÁ,7825,SUL,EXTREMO SUL CATARINENSE,-28.863962997280648,-49.45554724451555
MELEIRO,6940,SUL,EXTREMO SUL CATARINENSE,-28.84175105997365,-49.60179372826444
MORRO GRANDE,2982,SUL,EXTREMO SUL CATARINENSE,-28.72206489285062,-49.74048358458427
PASSO DE TORRES,12875,SUL,EXTREMO SUL CATARINENSE,-29.267247532606632,-49.72193226710953
PRAIA GRANDE,8131,SUL,EXTREMO SUL CATARINENSE,-29.181867687497547,-49.98950210163336
SANTA ROSA DO SUL,9308,SUL,EXTREMO SUL CATARINENSE,-29.121482522349368,-49.743750639484986
SOMBRIO,29503,SUL,EXTREMO SUL CATARINENSE,-29.070190675497283,-49.6559270933593
SÃO JOÃO DO SUL,8642,SUL,EXTREMO SUL CATARINENSE,-29.20556695305148,-49.81346773582506
TIMBÉ DO SUL,5377,SUL,EXTREMO SUL CATARINENSE,-28.8073934512733,-49.86846229280308
TURVO,12993,SUL,EXTREMO SUL CATARINENSE,-28.903082181075938,-49.70342183732695
ARMAZÉM,8825,SUL,LAGUNA,-28.23788063813609,-49.014677665017096
BRAÇO DO NORTE,34113,SUL,LAGUNA,-28.240945450971008,-49.14236463397278
CAPIVARI DE BAIXO,22873,SUL,LAGUNA,-28.455563833138974,-48.94338454298476
GRAVATAL,14022,SUL,LAGUNA,-28.35401953596473,-49.01952408367509
GRÃO-PARÁ,6149,SUL,LAGUNA,-28.155035480014185,-49.314022146691165
IMARUÍ,12331,SUL,LAGUNA,-28.23147922122709,-48.8344127034363
IMBITUBA,54258,SUL,LAGUNA,-28.19427352006288,-48.70266299449253
JAGUARUNA,19538,SUL,LAGUNA,-28.657895860293905,-49.04474831889522
LAGUNA,41269,SUL,LAGUNA,-28.486420639279142,-48.82593048728185
PEDRAS GRANDES,4233,SUL,LAGUNA,-28.47942090733158,-49.20447504744034
PESCARIA BRAVA,10224,SUL,LAGUNA,-28.401764026554133,-48.88364248038416
RIO FORTUNA,4885,SUL,LAGUNA,-28.09342423824744,-49.19056685602841
SANGÃO,12995,SUL,LAGUNA,-28.65131474857763,-49.12583417040969
SANTA ROSA DE LIMA,2002,SUL,LAGUNA,-28.01190657416012,-49.18186523393394
SÃO LUDGERO,13431,SUL,LAGUNA,-28.353134609105727,-49.16816231413642
SÃO MARTINHO,3654,SUL,LAGUNA,-28.12455670873408,-48.97190447556622
TREZE DE MAIO,7354,SUL,LAGUNA,-28.566224209216447,-49.15419058150752
TUBARÃO,114389,SUL,LAGUNA,-28.48158146246524,-49.03724862155106
AGROLÂNDIA,11010,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.45511639364327,-49.82477985824378
AGRONÔMICA,6055,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.32755942971644,-49.72074685728468
ATALANTA,3218,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.43730389659576,-49.74255039033168
AURORA,6810,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.32963166107603,-49.59034698790699
BRAÇO DO TROMBUDO,3954,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.36859854728649,-49.90361664577843
CHAPADÃO DO LAGEADO,2949,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-27.582726613717423,-49.5563835039048
DONA EMMA,4006,VALE DO ITAJAÍ,ALTO VALE DO ITAJAÍ,-26.988700760959578,-49.778082402911785
