Municipio,População,lat,lon
Imbituba,54258,-28.19427352006288,-48.70266299449253
Imbuia,5988,-27.502912858233568,-49.406525744418744
Indaial,71369,-26.99497938110411,-49.224177687901346
Iomerê,2865,-26.987730004085797,-51.27550679848495
Ipira,4580,-27.37081858347813,-51.798707740039546
Iporã do Oeste,9333,-27.000431634442474,-53.489414418215965
Ipuaçu,7726,-26.6787391439459,-52.47601370371535
Ipumirim,7815,-27.04030920397246,-52.15289061018003
Iraceminha,3987,-26.845317195563474,-53.32445648581825
Irani,10014,-27.02523498657863,-51.917948145975714
Irati,2069,-26.627592284222846,-52.89009910522137
Irineópolis,10298,-26.357066305040167,-50.76069119092562
Itá,7063,-27.24401504736772,-52.332158322558705
Itaiópolis,22065,-26.472148311227254,-49.891245489879395
Itajaí,291169,-26.96901297467498,-48.753417164343155
Itapema,76247,-27.10858334921313,-48.63442695278928
Itapiranga,16503,-27.112222405376688,-53.711674144548695
Itapoá,30731,-26.082477365716418,-48.65235420331072
Ituporanga,26694,-27.45344960217853,-49.53886990331492
Jaborá,4314,-27.141510230826746,-51.772666951728674
Jacinto Machado,10624,-28.99483199811634,-49.848148251438495
Jaguaruna,19538,-28.657895860293902,-49.04474831889522
Jaraguá do Sul,193304,-26.481907693524388,-49.159974339900636
Jardinópolis,1785,-26.717195189426306,-52.87130602094494
Joaçaba,29976,-27.151796127157354,-51.59293464174646
Joinville,617979,-26.244282225607027,-48.95140521079262
José Boiteux,5991,-26.85948733686543,-49.646306447162715
Jupiá,2542,-26.394105628089882,-52.720920059617036
Lacerdópolis,2256,-27.250882306855967,-51.59031113339198
Lages,164881,-28.020467334528156,-50.34057306529381
Laguna,41269,-28.486420639279142,-48.82593048728185
Lajeado Grande,1682,-26.85494130222345,-52.55208511201592
Laurentino,7524,-27.20798229696701,-49.73361403099963
Lauro Müller,14192,-28.384585380726385,-49.45193164331007
Lebon Régis,11553,-26.85842921486788,-50.702568782604985
Leoberto Leal,3334,-27.47214025034485,-49.25722235989941
Lindóia do Sul,4549,-27.031507278170547,-52.05246609985818
Lontras,12913,-27.18943445931826,-49.5073088131697
Luiz Alves,12249,-26.72735194701673,-48.89108169124951
Luzerna,5760,-27.09041292936536,-51.50563310304435
Macieira,1778,-26.803514154117057,-51.35313152484498
Mafra,55463,-26.20081171740186,-49.88955903735795
Major Gercino,3887,-27.42792580883704,-49.05263192701135
Major Vieira,7359,-26.481213478137697,-50.361577147797256
Maracajá,7825,-28.863962997280648,-49.45554724451555
Maravilha,28045,-26.759973577360107,-53.19811282877847
Marema,2177,-26.812382609184045,-52.630069576468934
Massaranduba,18922,-26.626911300757143,-48.98819178964745
Matos Costa,2762,-26.481287587029858,-51.14183006698014
Meleiro,6940,-28.84175105997365,-49.60179372826444
Mirim Doce,2502,-27.185593229141542,-50.175135877413425
Modelo,4085,-26.77477746640045,-53.05109629093748
Mondaí,9961,-27.09929258522074,-53.44649707854179
Monte Carlo,9131,-27.1937349107742,-50.92753484296082
Monte Castelo,7754,-26.660693783089588,-50.291540444204806
Morro da Fumaça,18687,-28.637695962847626,-49.24286164427865
Morro Grande,2982,-28.72206489285062,-49.74048358458427
Navegantes,88655,-26.82874286660231,-48.72739585880501
Nova Erechim,5179,-26.908168558958387,-52.90669278808881
Nova Itaberaba,4432,-26.961141868867955,-52.83316646064405
Nova Trento,13645,-27.313268123121375,-49.04136677854023
Nova Veneza,13396,-28.684717891453886,-49.58491232010042
Novo Horizonte,2652,-26.494979246937564,-52.79636139882617
Orleans,23531,-28.27993784715249,-49.37185982502813
Otacílio Costa,17357,-27.517214351001314,-49.97162825462502
Ouro,7025,-27.283436662769383,-51.68188570460702
Ouro Verde,2168,-26.711533463528756,-52.27875795891815
Paial,1931,-27.21300274694801,-52.48786857820866
Painel,2199,-27.96363041785285,-50.07213529549512
Palhoça,236638,-27.77182146966105,-48.66170819531588
Palma Sola,7601,-26.37354381742908,-53.31452923662933
Palmeira,2627,-27.562593742205628,-50.1616144262276
Palmitos,15627,-27.09262173445292,-53.179829065049795
Papanduva,19132,-26.50242441247795,-50.1723622637524
Paraíso,4437,-26.662800366381106,-53.67830388048522
Passo de Torres,12875,-29.267247532606632,-49.72193226710953
Passos Maia,4025,-26.706082760208048,-51.96106257398024
Paulo Lopes,9326,-27.96485520622319,-48.76016335634399
Pedras Grandes,4233,-28.47942090733158,-49.20447504744034
Penha,33400,-26.807759800934015,-48.650764520912794
Peritiba,2993,-27.35136072671339,-51.875058999568054
Pescaria Brava,10224,-28.401764026554133,-48.88364248038416
Petrolândia,6718,-27.545740749165756,-49.68272426717698
Balneário Piçarras,28177,-26.759491595089575,-48.733290126728555
Pinhalzinho,21495,-26.829373480377633,-52.97663206995043
Pinheiro Preto,3469,-27.049431015415728,-51.23605423031415
Piratuba,5746,-27.46121871446764,-51.77282038293217
Planalto Alegre,2946,-27.051964045168106,-52.868983175658315
Pomerode,34699,-26.728186239159662,-49.17330417894716
Ponte Alta,4437,-27.410157104310596,-50.29874092136142
Ponte Alta do Norte,3217,-27.180289058668134,-50.41856691670765
Ponte Serrada,10414,-26.861768575031704,-51.92821372642347
Porto Belo,27726,-27.174795882021932,-48.61643450369326
Porto União,32190,-26.38362840601625,-51.00778459817214
Pouso Redondo,17143,-27.286165527361565,-49.977272039975205
Praia Grande,8131,-29.181867687497547,-49.98950210163336
Presidente Castello Branco,1692,-27.233334573923248,-51.7809355856458
Presidente Getúlio,21231,-27.06258379829857,-49.71442977022528
Presidente Nereu,2300,-27.268252905221093,-49.354952472708355
Princesa,2964,-26.432945074493837,-53.611775698473636
Quilombo,11027,-26.729236446637557,-52.71798207770491
Rancho Queimado,3252,-27.67393150233846,-49.089880502958856
Rio das Antas,6221,-26.909076335888294,-51.063409436484186
Rio do Campo,6447,-26.892306720822397,-50.13139401795918
Rio do Oeste,7623,-27.158976836165333,-49.84167276904675
Rio dos Cedros,10879,-26.61792661732718,-49.368384844168055
Rio do Sul,70952,-27.196050867028834,-49.62995257034289
Rio Fortuna,4885,-28.09342423824744,-49.19056685602841
Rio Negrinho,38531,-26.44271403183842,-49.596155798278296
Rio Rufino,2432,-27.914235029891643,-49.75337595029075
Riqueza,4769,-26.978455061099254,-53.34435192618812
Rodeio,12715,-26.895097082819174,-49.35103649063635
Romelândia,4826,-26.648389532310617,-53.31712397583878
Salete,7502,-26.96962326284445,-50.01068505920498
Saltinho,3626,-26.590521643011794,-53.02227852519562
Salto Veloso,4416,-26.895934975227195,-51.428018355843534
Sangão,12995,-28.65131474857763,-49.12583417040969
Santa Cecília,15247,-26.926037999151447,-50.44624009169733
Santa Helena,2427,-26.92195558857574,-53.61965218468821
Santa Rosa de Lima,2002,-28.01190657416012,-49.18186523393394
Santa Rosa do Sul,9308,-29.121482522349368,-49.743750639484986
Santa Terezinha,8061,-26.667602877876757,-50.00529593803346
Santa Terezinha do Progresso,2580,-26.59274865073079,-53.16992504599359
Santiago do Sul,1642,-26.63087442406839,-52.69731235564567
Santo Amaro da Imperatriz,28260,-27.741766116501967,-48.796550358051064
São Bernardino,2651,-26.4876954650617,-52.98761130109326
São Bento do Sul,82760,-26.294901587995746,-49.34998168331938
São Bonifácio,2950,-27.956554071439474,-48.93909777309912
São Carlos,10279,-27.030109233268377,-53.03141183563582
São Cristóvão do Sul,6092,-27.29520553690684,-50.349496512442265
São Domingos,8984,-26.53938727845183,-52.55460248576241
São Francisco do Sul,52428,-26.26159673750705,-48.64031938386047
