Semana,Município,Casos
2025-01-12,PALHOÇA,3
2025-01-12,BOMBINHAS,0
2025-01-12,JARDINÓPOLIS,0
2025-01-12,JAGUARUNA,0
2025-01-12,JOINVILLE,13
2025-01-12,BIGUAÇU,0
2025-01-12,CAIBI,0
2025-01-12,SÃO LOURENÇO DO OESTE,0
2025-01-12,JARAGUÁ DO SUL,0
2025-01-12,SÃO JOSÉ DO CEDRO,0
2025-01-12,BALNEÁRIO CAMBORIÚ,1
2025-01-12,DESCANSO,0
2025-01-12,JOAÇABA,0
2025-01-12,IPUAÇU,0
2025-01-12,SCHROEDER,0
2025-01-12,SANTA HELENA,0
2025-01-12,PALMA SOLA,0
2025-01-12,LONTRAS,0
2025-01-12,ITAPIRANGA,0
2025-01-12,ABELARDO LUZ,0
2025-01-12,CORDILHEIRA ALTA,1
2025-01-12,CAÇADOR,1
2025-01-12,SÃO LUDGERO,0
2025-01-19,IPORÃ DO OESTE,0
2025-01-19,ITAPEMA,9
2025-01-19,CORDILHEIRA ALTA,0
2025-01-19,XANXERÊ,0
2025-01-19,DESCANSO,0
2025-01-19,GOVERNADOR CELSO RAMOS,0
2025-01-19,JARDINÓPOLIS,0
2025-01-19,ITÁ,0
2025-01-19,BOM JESUS,0
2025-01-19,INDAIAL,0
2025-01-19,LAJEADO GRANDE,0
2025-01-19,GUARAMIRIM,0
2025-01-19,VIDEIRA,3
2025-01-19,ASCURRA,0
2025-01-19,BRUSQUE,0
2025-01-19,MONDAÍ,0
2025-01-19,SÃO CARLOS,0
2025-01-19,MARAVILHA,0
2025-01-19,CAÇADOR,1
2025-01-19,LONTRAS,0
2025-01-19,IPUAÇU,0
2025-01-19,ITAPIRANGA,0
2025-01-19,GUARUJÁ DO SUL,0
2025-01-19,JAGUARUNA,0
2025-01-19,BOMBINHAS,0
2025-01-19,GUABIRUBA,0
2025-01-19,BARRA VELHA,1
2025-01-19,PASSOS MAIA,0
2025-01-19,GARUVA,0
2025-01-19,RIO DO SUL,0
2025-01-19,TIJUCAS,1
2025-01-19,CONCÓRDIA,0
2025-01-19,ARAQUARI,3
2025-01-19,TUBARÃO,0
2025-01-19,POMERODE,0
2025-01-19,PENHA,1
2025-01-19,CELSO RAMOS,0
2025-01-19,CAIBI,0
2025-01-19,CAMPOS NOVOS,0
2025-01-19,RODEIO,0
2025-01-19,IBIRAMA,0
2025-01-19,PINHALZINHO,0
2025-01-19,PALMITOS,0
2025-01-19,SÃO JOSÉ,1
2025-01-19,CHAPECÓ,0
2025-01-19,SANTO AMARO DA IMPERATRIZ,0
2025-01-19,PALMA SOLA,0
2025-01-19,SÃO LOURENÇO DO OESTE,0
2025-01-19,SÃO LUDGERO,0
2025-01-19,ITAPOÁ,0
2025-01-19,LINDÓIA DO SUL,0
2025-01-19,SÃO FRANCISCO DO SUL,0
2025-01-19,BLUMENAU,2
2025-01-19,SANTA HELENA,0
2025-01-19,ABELARDO LUZ,0
2025-01-19,CAPINZAL,1
2025-01-19,SCHROEDER,0
2025-01-19,SEARA,0
2025-01-19,SÃO JOSÉ DO CEDRO,0
2025-01-19,JARAGUÁ DO SUL,0
2025-01-19,BALNEÁRIO BARRA DO SUL,0
2025-01-19,BALNEÁRIO PIÇARRAS,1
2025-01-19,BIGUAÇU,0
2025-01-19,JOINVILLE,13
2025-01-19,PALHOÇA,4
2025-01-19,PETROLÂNDIA,0
2025-01-19,CUNHA PORÃ,0
2025-01-19,ITAIÓPOLIS,0
2025-01-19,SÃO BENTO DO SUL,0
2025-01-19,CAMBORIÚ,0
2025-01-19,JOAÇABA,0
2025-01-19,POUSO REDONDO,0
2025-01-19,DIONÍSIO CERQUEIRA,0
2025-01-19,NAVEGANTES,0
2025-01-19,PORTO UNIÃO,0
2025-01-19,BENEDITO NOVO,0
2025-01-19,SÃO MIGUEL DO OESTE,7
2025-01-19,ITAJAÍ,11
2025-01-19,GASPAR,0
2025-01-19,PORTO BELO,0
2025-01-19,FLORIANÓPOLIS,0
2025-01-19,CORUPÁ,0
2025-01-19,BALNEÁRIO CAMBORIÚ,0
2025-01-19,DONA EMMA,0
2025-01-26,JOINVILLE,14
2025-01-26,GASPAR,0
2025-01-26,LAJEADO GRANDE,0
2025-01-26,FLORIANÓPOLIS,0
2025-01-26,SCHROEDER,0
2025-01-26,ITAPIRANGA,0
2025-01-26,JAGUARUNA,0
2025-01-26,BIGUAÇU,0
2025-01-26,SÃO JOSÉ DO CEDRO,0
2025-01-26,ABELARDO LUZ,0
2025-01-26,POUSO REDONDO,0
2025-01-26,JARAGUÁ DO SUL,0
2025-01-26,IPUAÇU,0
2025-01-26,SANTA HELENA,0
2025-01-26,CAÇADOR,1
2025-01-26,INDAIAL,0
2025-01-26,ITAIÓPOLIS,0
2025-01-26,ASCURRA,0
2025-01-26,SÃO FRANCISCO DO SUL,0
2025-01-26,PORTO BELO,0
2025-01-26,PALMITOS,0
2025-01-26,BRUSQUE,0
2025-01-26,ITAJAÍ,9
2025-01-26,VIDEIRA,0
2025-01-26,MONDAÍ,0
2025-01-26,GUARUJÁ DO SUL,0
2025-01-26,CUNHA PORÃ,1
2025-01-26,SÃO JOSÉ,2
2025-01-26,PALMA SOLA,3
2025-01-26,SÃO CARLOS,0
2025-01-26,MARAVILHA,0
2025-01-26,DIONÍSIO CERQUEIRA,0
2025-01-26,SÃO LOURENÇO DO OESTE,0
2025-01-26,GUARAMIRIM,0
2025-01-26,BENEDITO NOVO,0
2025-01-26,SÃO LUDGERO,0
2025-01-26,LONTRAS,0
2025-01-26,BOM JESUS,0
2025-01-26,BOMBINHAS,1
2025-01-26,SÃO MIGUEL DO OESTE,15
2025-01-26,BLUMENAU,5
2025-01-26,DESCANSO,0
2025-01-26,LINDÓIA DO SUL,0
2025-01-26,CONCÓRDIA,0
2025-01-26,IPORÃ DO OESTE,0
2025-01-26,CAIBI,0
2025-01-26,ITAPOÁ,0
2025-01-26,ARAQUARI,3
2025-01-26,SANTO AMARO DA IMPERATRIZ,0
2025-01-26,CHAPECÓ,0
2025-01-26,NAVEGANTES,0
2025-01-26,TIJUCAS,1
2025-01-26,SÃO BENTO DO SUL,0
2025-01-26,TUBARÃO,0
2025-01-26,PORTO UNIÃO,0
2025-01-26,PINHALZINHO,0
2025-01-26,POMERODE,0
2025-01-26,IBIRAMA,0
2025-01-26,CAMBORIÚ,0
2025-01-26,ITÁ,0
2025-01-26,GOVERNADOR CELSO RAMOS,0
2025-01-26,PENHA,0
2025-01-26,RODEIO,0
2025-01-26,CAMPOS NOVOS,0
2025-01-26,CORDILHEIRA ALTA,0
2025-01-26,BALNEÁRIO CAMBORIÚ,0
2025-01-26,PASSOS MAIA,2
2025-01-26,CORUPÁ,0
2025-01-26,CELSO RAMOS,0
2025-01-26,XANXERÊ,0
2025-01-26,ITAPEMA,11
2025-01-26,PALHOÇA,4
2025-01-26,BALNEÁRIO PIÇARRAS,1
2025-01-26,GUABIRUBA,0
2025-01-26,DONA EMMA,0
2025-01-26,BALNEÁRIO BARRA DO SUL,0
2025-01-26,JARDINÓPOLIS,0
2025-01-26,BARRA VELHA,3
2025-01-26,JOAÇABA,0
2025-01-26,SEARA,0
2025-01-26,GARUVA,0
2025-01-26,CAPINZAL,0
2025-01-26,PETROLÂNDIA,0
2025-01-26,RIO DO SUL,0
2025-02-02,IPORÃ DO OESTE,0
2025-02-02,DESCANSO,0
2025-02-02,SÃO BENTO DO SUL,0
2025-02-02,CUNHA PORÃ,0
2025-02-02,SÃO MIGUEL DO OESTE,10
2025-02-02,POUSO REDONDO,0
2025-02-02,CAIBI,0
2025-02-02,BENEDITO NOVO,0
2025-02-02,DONA EMMA,0
2025-02-02,INDAIAL,0
2025-02-02,CAMPOS NOVOS,0
2025-02-02,BRUSQUE,0
2025-02-02,PORTO UNIÃO,0
2025-02-02,RIO DO SUL,0
2025-02-02,GUARUJÁ DO SUL,0
2025-02-02,ABELARDO LUZ,0
2025-02-02,BALNEÁRIO PIÇARRAS,1
2025-02-02,GUABIRUBA,0
2025-02-02,BIGUAÇU,0
2025-02-02,IPUAÇU,0
2025-02-02,CAPINZAL,0
2025-02-02,SÃO JOSÉ DO CEDRO,1
2025-02-02,CAÇADOR,1
2025-02-02,VIDEIRA,1
2025-02-02,PASSOS MAIA,1
2025-02-02,SANTA HELENA,2
2025-02-02,SÃO CARLOS,0
2025-02-02,CONCÓRDIA,0
2025-02-02,SANTO AMARO DA IMPERATRIZ,0
2025-02-02,PALMA SOLA,1
2025-02-02,PINHALZINHO,0
2025-02-02,TUBARÃO,0
2025-02-02,CAMBORIÚ,0
2025-02-02,ITÁ,0
2025-02-02,PALMITOS,1
2025-02-02,LINDÓIA DO SUL,0
2025-02-02,XANXERÊ,1
2025-02-02,PORTO BELO,0
2025-02-02,NAVEGANTES,0
2025-02-02,JARAGUÁ DO SUL,0
2025-02-02,JOINVILLE,16
2025-02-02,PALHOÇA,3
2025-02-02,LONTRAS,0
2025-02-02,PETROLÂNDIA,0
2025-02-02,BALNEÁRIO BARRA DO SUL,0
2025-02-02,SEARA,0
2025-02-02,ITAPIRANGA,0
2025-02-02,BLUMENAU,6
2025-02-02,ITAPOÁ,0
2025-02-02,JAGUARUNA,0
2025-02-02,CHAPECÓ,0
2025-02-02,IBIRAMA,0
2025-02-02,MARAVILHA,0
2025-02-02,BOMBINHAS,1
