Semana,Município,Incidencia
2025-06-29,CELSO RAMOS,0.0
2025-06-29,BIGUAÇU,39.42866591201048
2025-06-29,ÁGUAS DE CHAPECÓ,0.0
2025-06-29,PIRATUBA,0.0
2025-06-29,TANGARÁ,0.0
2025-06-29,ZORTÉA,0.0
2025-06-29,BOM JARDIM DA SERRA,0.0
2025-06-29,CATANDUVAS,0.0
2025-06-29,JAGUARUNA,0.0
2025-06-29,TIMBÓ,13.002773925104021
2025-06-29,CAPIVARI DE BAIXO,0.0
2025-06-29,BOM JESUS DO OESTE,0.0
2025-06-29,XAVANTINA,0.0
2025-06-29,ITAJAÍ,77.27470987639481
2025-06-29,PENHA,17.964071856287426
2025-06-29,AURORA,0.0
2025-06-29,TIJUCAS,48.510328657476656
2025-06-29,IRINEÓPOLIS,0.0
2025-06-29,BOM JESUS,0.0
2025-06-29,XAXIM,0.0
2025-06-29,PERITIBA,0.0
2025-06-29,PAIAL,0.0
2025-06-29,JARAGUÁ DO SUL,27.935272937963
2025-06-29,TIGRINHOS,0.0
2025-06-29,CAPÃO ALTO,0.0
2025-06-29,ITAIÓPOLIS,0.0
2025-06-29,CRICIÚMA,0.0
2025-06-29,CAMBORIÚ,0.8915278112100706
2025-06-29,IBICARÉ,0.0
2025-06-29,RIO DAS ANTAS,0.0
2025-06-29,ARABUTÃ,0.0
2025-06-29,SANTA HELENA,0.0
2025-06-29,GARUVA,90.92367759533614
2025-06-29,FLORIANÓPOLIS,12.365029606408918
2025-06-29,SCHROEDER,9.894622272794736
2025-06-29,LEOBERTO LEAL,0.0
2025-06-29,ALTO BELA VISTA,0.0
2025-06-29,MODELO,0.0
2025-06-29,SÃO MARTINHO,0.0
2025-06-29,RANCHO QUEIMADO,0.0
2025-06-29,IBIRAMA,4.667444574095683
2025-06-29,PETROLÂNDIA,0.0
2025-06-29,ARAQUARI,83.5862918481369
2025-06-29,FLOR DO SERTÃO,0.0
2025-06-29,SEARA,0.0
2025-06-29,SALTO VELOSO,0.0
2025-06-29,ANITÁPOLIS,0.0
2025-06-29,MARACAJÁ,0.0
2025-06-29,LUZERNA,0.0
2025-06-29,FAXINAL DOS GUEDES,0.0
2025-06-29,SERRA ALTA,0.0
2025-06-29,MELEIRO,0.0
2025-06-29,ARARANGUÁ,1.386231944328925
2025-06-29,RIO DO OESTE,0.0
2025-06-29,SAUDADES,0.0
2025-06-29,RIO NEGRINHO,0.0
2025-06-29,LUIZ ALVES,0.0
2025-06-29,GUATAMBÚ,0.0
2025-06-29,SANTA ROSA DE LIMA,0.0
2025-06-29,LONTRAS,0.0
2025-06-29,SANTA TEREZINHA DO PROGRESSO,0.0
2025-06-29,GALVÃO,0.0
2025-06-29,MAREMA,0.0
2025-06-29,FRAIBURGO,0.0
2025-06-29,SANTIAGO DO SUL,0.0
2025-06-29,RIO DOS CEDROS,0.0
2025-06-29,SANTA CECÍLIA,0.0
2025-06-29,ANTÔNIO CARLOS,35.413899955732624
2025-06-29,RIO DO SUL,0.0
2025-06-29,GUARAMIRIM,12.902670852866544
2025-06-29,SANTA TEREZINHA,0.0
2025-06-29,GAROPABA,0.0
2025-06-29,FORQUILHINHA,0.0
2025-06-29,LINDÓIA DO SUL,0.0
2025-06-29,SANTO AMARO DA IMPERATRIZ,3.5385704175513095
2025-06-29,ANCHIETA,0.0
2025-06-29,SÃO JOAQUIM,0.0
2025-06-29,RIO DO CAMPO,0.0
2025-06-29,APIÚNA,0.0
2025-06-29,GUARUJÁ DO SUL,0.0
2025-06-29,MARAVILHA,7.131395970761276
2025-06-29,MASSARANDUBA,5.284853609555015
2025-06-29,FORMOSA DO SUL,0.0
2025-06-29,HERVAL D'OESTE,0.0
2025-06-29,ALFREDO WAGNER,0.0
2025-06-29,GASPAR,0.0
2025-06-29,LAURO MÜLLER,0.0
2025-06-29,PRINCESA,0.0
2025-06-29,GUARACIABA,0.0
2025-06-29,JACINTO MACHADO,0.0
2025-06-29,IMBITUBA,0.0
2025-06-29,RODEIO,0.0
2025-06-29,ENTRE RIOS,0.0
2025-06-29,LAURENTINO,0.0
2025-06-29,MORRO DA FUMAÇA,0.0
2025-06-29,SUL BRASIL,0.0
2025-06-29,SÃO BENTO DO SUL,0.0
2025-06-29,ABELARDO LUZ,0.0
2025-06-29,MAFRA,0.0
2025-06-29,QUILOMBO,0.0
2025-06-29,MAJOR GERCINO,0.0
2025-06-29,MACIEIRA,0.0
2025-06-29,ARVOREDO,0.0
2025-06-29,IMARUÍ,0.0
2025-06-29,VARGEM,0.0
2025-06-29,GRAVATAL,0.0
2025-06-29,SALETE,0.0
2025-06-29,PRESIDENTE NEREU,0.0
2025-06-29,ASCURRA,0.0
2025-06-29,DOUTOR PEDRINHO,0.0
2025-06-29,TREZE DE MAIO,0.0
2025-06-29,RIQUEZA,0.0
2025-06-29,GOVERNADOR CELSO RAMOS,0.0
2025-06-29,ARROIO TRINTA,0.0
2025-06-29,MONDAÍ,0.0
2025-06-29,DIONÍSIO CERQUEIRA,0.0
2025-06-29,SALTINHO,0.0
2025-06-29,ILHOTA,9.843004084846696
2025-06-29,MAJOR VIEIRA,0.0
2025-06-29,LAJEADO GRANDE,0.0
2025-06-29,SOMBRIO,0.0
2025-06-29,ERVAL VELHO,0.0
2025-06-29,ROMELÂNDIA,0.0
2025-06-29,SÃO BERNARDINO,0.0
2025-06-29,NAVEGANTES,15.791551519936833
2025-07-13,RODEIO,0.0
2025-07-13,CAMBORIÚ,0.0
2025-07-13,GAROPABA,0.0
2025-07-13,ITUPORANGA,0.0
2025-07-13,GRAVATAL,0.0
2025-07-13,TIJUCAS,52.55285604559971
2025-07-13,RIO DOS CEDROS,0.0
2025-07-13,TIGRINHOS,0.0
2025-07-13,ROMELÂNDIA,0.0
2025-07-13,GALVÃO,0.0
2025-07-13,URUBICI,0.0
2025-07-13,CAPÃO ALTO,0.0
2025-07-13,SANTA TEREZINHA,0.0
2025-07-13,PENHA,2.9940119760479043
2025-07-13,IRINEÓPOLIS,0.0
2025-07-13,CAMPO ERÊ,0.0
2025-07-13,GUARUJÁ DO SUL,0.0
2025-07-13,TUBARÃO,2.622629798319769
2025-07-13,GASPAR,0.0
2025-07-13,CANELINHA,0.0
2025-07-13,RIQUEZA,0.0
2025-07-13,CAMPOS NOVOS,0.0
2025-07-13,PASSOS MAIA,0.0
2025-07-13,SALTINHO,0.0
2025-07-13,TROMBUDO CENTRAL,0.0
2025-07-13,SALTO VELOSO,0.0
2025-07-13,GUARAMIRIM,21.504451421444237
2025-07-13,CANOINHAS,0.0
2025-07-13,GARUVA,16.0453548697652
2025-07-13,GOVERNADOR CELSO RAMOS,0.0
2025-07-13,TUNÁPOLIS,0.0
2025-07-13,ITAPEMA,13.115270108987893
2025-07-13,PASSO DE TORRES,0.0
2025-07-13,GUARACIABA,0.0
2025-07-13,PAULO LOPES,0.0
2025-07-13,TREZE TÍLIAS,0.0
2025-07-13,SANTA HELENA,0.0
2025-07-13,RIO NEGRINHO,0.0
2025-07-13,CAPINZAL,0.0
2025-07-13,ITAPOÁ,126.90768279587387
2025-07-13,ITAJAÍ,64.56731314116544
2025-07-13,TIMBÓ,8.668515950069349
2025-07-13,SALETE,0.0
2025-07-13,UNIÃO DO OESTE,0.0
2025-07-13,PARAÍSO,0.0
2025-07-13,CAPIVARI DE BAIXO,0.0
2025-07-13,CAMPO ALEGRE,0.0
2025-07-13,CATANDUVAS,0.0
2025-07-13,PRESIDENTE GETÚLIO,0.0
2025-07-13,TANGARÁ,0.0
2025-07-13,SÃO JOSÉ,33.74981298428372
2025-07-13,PORTO BELO,46.887398110077186
2025-07-13,PRINCESA,0.0
2025-07-13,SOMBRIO,0.0
2025-07-13,CORUPÁ,13.083011709295478
2025-07-13,ERVAL VELHO,0.0
2025-07-13,SÃO JOSÉ DO CEDRO,0.0
2025-07-13,ILHOTA,4.921502042423348
2025-07-13,IPIRA,0.0
2025-07-13,CORREIA PINTO,0.0
2025-07-13,SÃO JOÃO BATISTA,0.0
2025-07-13,PONTE SERRADA,0.0
2025-07-13,QUILOMBO,0.0
2025-07-13,SERRA ALTA,0.0
2025-07-13,IPORÃ DO OESTE,0.0
2025-07-13,CORONEL MARTINS,0.0
